index,"areas","lat","lon"
186,"Barnala",30.38,75.55
187,"Baroda/Vadodara",22.33,73.17
188,"Baroda",25.48,76.58
189,"Barpeta",26.33,91.17
190,"Barrackpur/Barakpur",22.73,88.5
191,"Barsi",18.17,75.83
192,"Barsoi",25.8,87.95
193,"Barwani",22.03,74.95
194,"Basim/Washim",20.05,77
195,"Basoda",23.87,77.9
196,"Bassi",30.73,76.35
197,"Bastar",19.25,81.67
198,"Basti",26.87,82.92
199,"Batala",31.8,75.2
200,"Bausi",24.8,87.02
201,"Bayana",26.92,77.3
202,"Bearma",24.33,79.85
203,"Beas",31.17,74.98
204,"Beawar",26.05,74.3
205,"Begusarai",25.4,86.15
206,"Behala",22.5,88.33
207,"Bela",25.83,82
208,"Belan",24.03,81.75
209,"Belgaum",15.92,74.58
210,"Bellary",15.17,76.93
211,"Belonia",23.25,91.5
212,"Belrain",28.38,80.92
213,"Bemetara",21.7,81.53
214,"Benares/Varanasi",25.37,83
215,"Ber Mota",23.45,68.57
216,"Berach",25.25,75.03
217,"Berhampore/Baharampur",24.03,88.45
218,"Berhampur/Brahmapur",19.25,84.9
219,"Bettiah",26.8,84.55
220,"Betul",21.97,77.98
221,"Bewas",23.98,79.35
222,"Bezwada/Vijayawada",16.52,80.65
223,"Bhabua",25.05,83.62
224,"Bhachau",23.33,70.27
225,"Bhadar, Gujarat",22.28,72.33
226,"Bhadar, Gujarat",21.45,69.78
227,"Bhadwrwah",32.97,75.77
228,"Bhadohi",25.42,82.57
229,"Bhadra",29.13,75.23
230,"Bhadrakh",21.17,86.5
231,"Bhadran",22.32,72.1
232,"Bhadravati",13.82,75.67
233,"Bhagalpur",25.17,87
234,"Bhagirathi, Uttaranchal",30.13,78.58
235,"Bhagirathi, W. Bengal",23.42,88.38
236,"Bhakra Dam",31.5,76.75
237,"Bhandara",21.08,79.7
238,"Bhanpura",24.52,75.73
239,"Bhanrer Ra.",23.67,79.08
240,"Bhaptiahi",26.32,86.73
241,"Bharatpur, Chhattisgarh",23.73,81.77
242,"Bharatpur, Raj.",27.25,77.5
243,"Bharno",23.23,84.88
244,"Bhatinda",30.25,74.95
245,"Bhatpara",22.83,88.42
246,"Bhattu",29.6,75.32
247,"Bhaunagar/Bhavnagar",21.75,72.17
248,"Bhavnagar",21.75,72.17
249,"Bhawari",25.7,73.07
250,"Bhayavadar",21.85,70.25
251,"Bhikangaon",21.87,75.95
252,"Bhilsa/Vidisha",23.47,77.88
253,"Bhilwara",25.42,74.63
254,"Bhima",16.42,77.28
255,"Bhind",26.5,78.77
256,"Bhinga",27.72,81.93
257,"Bhinmal",25,72.25
258,"Bhiwandi",19.33,73
259,"Bhiwani",28.83,76.15
260,"Bhogava",22.43,72.33
261,"Bhopal",23.33,77.5
262,"Bhubaneshwar",20.25,85.83
263,"Bhuj",23.25,69.82
264,"Bhusaval",21.05,75.77
265,"Biaora",23.93,76.93
266,"Bichia",22.45,80.7
267,"Bidar",17.92,77.58
268,"Bidhuna",26.82,79.52
269,"Bihar",25.08,85.67
270,"Bihar",25,86
271,"Bihariganj",25.73,86.98
272,"Bijaipur",26.03,77.33
273,"Bijapur, Chhattisgarh",18.83,80.83
274,"Bijapur, Karnataka",16.83,75.92
275,"Bijawar",24.63,79.5
276,"Bijnor",29.45,78.18
277,"Bikaner",28.03,73.3
278,"Bikapur",26.5,82.12
279,"Bilara",26.23,73.88
280,"Bilaspur, Chhattisgarh",22.03,82.25
281,"Bilaspur, Punjab",31.32,76.83
282,"Bilgram",27.18,80.03
283,"Bilhaur",26.85,80.08
284,"Bina-Etawah",24.22,78.23
285,"Bindki",26.03,80.6
286,"Bir",19.07,75.77
287,"Birmitrapur",22.4,84.77
288,"Birsilpur",28.18,72.25
289,"Birur",13.5,75.92
290,"Bisalpur",28.23,79.8
291,"Bishnupur",23.13,87.33
292,"Biswan",27.48,81.03
293,"Bobbili",18.58,83.5
294,"Bodhan",18.67,77.73
295,"Bokaro",23.77,85.92
296,"Bolpur",23.67,87.75
297,"Bombay/Mumbai",18.92,72.83
298,"Bonaigarh",21.83,84.95
299,"Borsad",22.42,72.9
300,"Botad",22.25,71.67
301,"Brahmani",20.65,86.77
302,"Brahmapur",19.25,84.9
303,"Brahmaputra",27.8,95.5
304,"Budaun",28.08,79.17
305,"Budge Budge/Baj Baj.",22.5,88.08
306,"Bulandshahr",28.47,77.85
307,"Bulsar/Valsad",20.67,72.97
308,"Bundi",25.5,75.58
309,"Burda",25.83,77.58
310,"Burdwan/Barddhaman",23.23,87.65
311,"Burhanpur",21.3,76.23
312,"Burhi Gandak",25.33,86.62
313,"Burhner",22.72,80.52
314,"Buxa Duar",27.75,89.58
315,"Buxar",25.57,83.97
316,"Calcutta/Kolkata",22.6,88.4
317,"Calicut",11.25,75.72
318,"Cambay/Khambhat",22.38,72.55
319,"Cambay, G. of/Khambhat G. of",20.75,72.5
320,"Cannanore",11.88,75.45
321,"Canning Town/Port Canning",22.38,88.67
322,"Cardamon Hills",9.5,77.25
323,"Cauvery",11.15,78.87
324,"Cawnpore/Kanpur",26.47,80.33
325,"chaibasa",22.7,85.82
326,"Chakradharpur",22.75,85.67
327,"Chakrata",30.7,77.85
328,"Chalisgaon",20.5,75.17
329,"Chamba",32.58,76.17
330,"Chambal",26.48,79.25
331,"Chamoli",30.4,79.35
332,"Champa",22.03,82.72
333,"Champawat",29.33,80.1
334,"Champua",22.08,85.67
335,"Chanasma",23.73,72.08
336,"Chand",21.95,79.12
337,"Chandan",24.63,86.67
338,"Chandan Chauki",28.55,80.78
339,"Chandannagar",22.87,88.4
340,"Chandausi",28.45,78.82
341,"Chandigarh",30.72,76.78
342,"Chandil",22.97,86.05
343,"Chandod",21.98,73.47
344,"Chandrapur",19.95,79.42
345,"Chnaga",33.88,77.58
346,"Changanacheri",9.42,76.52
347,"Channapatna",12.67,77.25
348,"Chapra= Chhapra",25.8,84.73
349,"Charanwala",27.85,72.17
350,"Charkhari",25.4,79.75
351,"Charkhi Dadri",28.62,76.28
352,"Chatra",24.2,84.93
353,"Chatrapur",19.37,85.03
354,"Chatsu",26.6,75.95
355,"Chennai",13.13,80.32
356,"Cherrapunji",25.28,91.78
357,"Chhabra",24.67,76.9
358,"Chhaktala",22.1,74.18
359,"Chhapra",25.8,84.73
360,"Chhata",27.7,77.5
361,"Chhatarpur, Jharkhand",24.38,84.18
362,"Chhatarpur, Mad. P.",24.92,79.58
363,"Chhattisgarh",22,82
364,"Chhindwara, Mad. P.",23.05,79.48
365,"Chhindwara, Mad. P.",22.03,78.98
366,"Chhota Tawa",22.23,76.6
367,"Chhoti Kali Sindh",24.03,75.52
368,"Chhuikhadan",21.53,80.98
369,"Chicacole/Srikakulam",18.23,83.97
370,"Chicholi",22.02,77.67
371,"Chidambaram",11.33,79.75
372,"Chik Bollapur",13.42,77.75
373,"Chikmagalur",13.25,75.75
374,"Chilka L.",19.67,85.42
375,"Chilo",27.42,73.53
376,"Chineni",33.03,75.25
377,"Chini",31.53,75.25
378,"Chirala",15.83,80.43
379,"Chirawa",28.23,75.7
380,"Chirmiri",23.25,82.33
381,"Chittaurgarh",24.87,74.63
382,"Chittoor",13.25,79.08
383,"Chomun",27.25,75.67
384,"Chorbat La",34.7,76.62
385,"Chotila",22.38,71.25
386,"Chotta Udepur",22.32,74.02
387,"Chuda",22.48,71.68
388,"Chumar",32.67,78.58
389,"Chunchura",22.88,88.45
390,"Churachandpur",24.33,93.67
391,"Churki",23.83,83.2
392,"Churu",28.33,74.83
393,"Chushal",33.67,78.67
394,"Cocanada/Kakinada",16.95,82.18
395,"Cochin",9.97,76.33
